Title,Link,Occupation,Company,Company Web,Company Location,Specs
Senior Data Analyst,https://wuzzuf.nethttps://wuzzuf.net/jobs/p/kbzexl37bjxb-senior-data-analyst-xceed-contact-center-cairo-egypt,Full TimeOn-site,"Cairo, Egypt ","Cairo, Egypt ",https://wuzzuf.net/jobs/careers/XCEEDCC-Egypt-52679,Full TimeOn-siteExperienced · 3+ Yrs of Exp · Analyst/Research · Engineering - Telecom/Technology · ETL · Data Analysis · Communication skills · Python · SQL · Business Intelligence · PowerBI · Pandas
Data Analyst,https://wuzzuf.nethttps://wuzzuf.net/jobs/p/aobcvsbixh2f-data-analyst-al-soug-cashi-giza-egypt,Full TimeHybrid,"Dokki, Giza, Egypt ","Dokki, Giza, Egypt ",https://wuzzuf.net/jobs/careers/Al-Soug-Cashi-Egypt-86358,Full TimeHybridExperienced · 1 - 5 Yrs of Exp · Accounting/Finance · IT/Software Development · Analyst · Analysis · SQL · BI · Reporting · Data Analysis · Data Analyst · analytical
Information Analyst – Data Scientist,https://wuzzuf.nethttps://wuzzuf.net/jobs/p/ric2lbqwad48-information-analyst-data-scientist-cairo-egypt,Full TimeRemote,"Maadi, Cairo, Egypt ","Maadi, Cairo, Egypt ",,Full TimeRemoteExperienced · 5 - 8 Yrs of Exp · IT/Software Development · analytical · Business Intelligence · Computer Science · Data Analyst · Data Analysis · Statistics · Analysis · Data · Database
Data Scientist,https://wuzzuf.nethttps://wuzzuf.net/jobs/p/bu1ksr9tke5x-data-scientist-lumin-giza-egypt,Full TimeHybrid,"Sheikh Zayed, Giza, Egypt ","Sheikh Zayed, Giza, Egypt ",https://wuzzuf.net/jobs/careers/Excel-Systems-LLC-Egypt-13729,Full TimeHybridExperienced · 3+ Yrs of Exp · IT/Software Development · Analyst/Research · Engineering - Telecom/Technology · Computer Science · Analysis · Mathematics · Data Analysis · Hadoop · Data Science · Information Technology (IT)
Data Analyst,https://wuzzuf.nethttps://wuzzuf.net/jobs/p/zwllib1i7z5q-data-analyst-misr-international-hospital-giza-egypt,Full TimeOn-site,"Dokki, Giza, Egypt ","Dokki, Giza, Egypt ",https://wuzzuf.net/jobs/careers/-104632,Full TimeOn-siteExperienced · 2+ Yrs of Exp · Business Development · Analyst/Research · Analysis · BI · business · Computer Science · Data · Data Analysis · excel · Information Technology (IT)
Data Analyst,https://wuzzuf.nethttps://wuzzuf.net/jobs/p/ilxnurcn2emt-data-analyst-kirmena-jewellery-cairo-egypt,Full TimeOn-site,"Obour City, Cairo, Egypt ","Obour City, Cairo, Egypt ",https://wuzzuf.net/jobs/careers/Kirmena-Jewellery-Egypt-15436,Full TimeOn-siteEntry Level · 1 - 3 Yrs of Exp · Analyst/Research · Data Analysis · Data Mining · Analysis · Analyst · analytical · Analyze · business · Computer Science · Data
Data Analyst,https://wuzzuf.nethttps://wuzzuf.net/jobs/p/q3q0pe5ivmo0-data-analyst-eltawheed-sharqia-egypt,Full TimeOn-site,"10th of Ramadan City, Sharqia, Egypt ","10th of Ramadan City, Sharqia, Egypt ",https://wuzzuf.net/jobs/careers/eltawheed-egypt-129704,Full TimeOn-siteEntry Level · 1 - 4 Yrs of Exp · Operations/Management · Analyst · Data Analysis · Analysis · analytical · business · Computer Science · Data Analyst · Data · Economics
Senior Data Testing Engineer,https://wuzzuf.nethttps://wuzzuf.net/jobs/p/xwee4ibioiqc-senior-data-testing-engineer-taqin-valley-cairo-egypt,Full TimeHybrid,"Cairo, Egypt ","Cairo, Egypt ",https://wuzzuf.net/jobs/careers/Taqin Valley-Saudi Arabia-122984,Full TimeHybridExperienced · 3 - 4 Yrs of Exp · IT/Software Development · QA · Software Testing · SQL · Quality Assurance · Testing · Analysis · Computer Science · ETL · Information Technology (IT)
Data Test Lead,https://wuzzuf.nethttps://wuzzuf.net/jobs/p/chnuykrllmby-data-test-lead-taqin-valley-cairo-egypt,Full TimeHybrid,"Cairo, Egypt ","Cairo, Egypt ",https://wuzzuf.net/jobs/careers/Taqin Valley-Saudi Arabia-122984,Full TimeHybridExperienced · 3 - 6 Yrs of Exp · IT/Software Development · QA · Software Testing · SQL · Quality Assurance · Testing · Analysis · Computer Science · Information Technology (IT) · MongoDB
Data Analyst,https://wuzzuf.nethttps://wuzzuf.net/jobs/p/l9law3rx8jbr-data-analyst-carina-wear-cairo-egypt,Full TimeOn-site,"New Cairo, Cairo, Egypt ","New Cairo, Cairo, Egypt ",https://wuzzuf.net/jobs/careers/Carina-Wear-Office-Egypt-20411,Full TimeOn-siteEntry Level · 1+ Yrs of Exp · Analyst/Research · Computer Science · Data Analysis · Power BI · Tableau · SQL · Microsoft Excel · analytical · Data · BI
